cluster_id,size,pct_of_total,top_terms,top_ticket_type,top_ticket_subject,top_product,dominant_category_share,avg_satisfaction,representative_ticket_ids
-1,577,6.813083008619672,,Refund request,Battery life,Canon EOS,0.22010398613518198,2.9946236559139785,
0,162,1.9128586609989375,garmin forerunner; garmin; forerunner; the garmin; forerunner please; the; my garmin; issue; please; to,Technical issue,Software bug,Garmin Forerunner,0.2345679012345679,3.2264150943396226,543; 1058; 3801
1,171,2.0191285866099893,hdr tv; hdr; 4k hdr; 4k; sony 4k; tv; sony; the sony; tv please; the,Product inquiry,Network problem,Sony 4K HDR TV,0.22807017543859648,3.0727272727272728,884; 6955; 4788
2,151,1.7829731963632072,amazon kindle; kindle; amazon; kindle please; the amazon; the; my amazon; issue; please; an,Technical issue,Refund request,Amazon Kindle,0.25165562913907286,2.8653846153846154,2288; 1556; 5731
3,194,2.290707285393789,hue; hue lights; philips hue; philips; lights; the philips; lights please; the; my philips; issue,Cancellation request,Delivery problem,Philips Hue Lights,0.2268041237113402,3.1403508771929824,1985; 1237; 3251
4,175,2.066359664659346,robot; robot vacuum; roomba; roomba robot; vacuum; the roomba; vacuum please; the; my roomba; issue,Billing inquiry,Product setup,Roomba Robot Vacuum,0.22857142857142856,3.056603773584906,7078; 683; 3585
5,155,1.8302042744125633,dyson; cleaner; vacuum cleaner; dyson vacuum; vacuum; the dyson; cleaner please; the; my dyson; issue,Technical issue,Battery life,Dyson Vacuum Cleaner,0.25161290322580643,3.260869565217391,7217; 3256; 6719
6,159,1.8774353524619198,lg smart; smart tv; smart; tv; lg; tv please; the lg; the; my lg; issue,Product inquiry,Peripheral compatibility,LG Smart TV,0.2578616352201258,3.037037037037037,7269; 2479; 1136
7,174,2.0545518951470068,washing; washing machine; lg washing; machine; lg; machine please; the lg; the; my lg; please,Technical issue,Delivery problem,LG Washing Machine,0.22988505747126436,2.9827586206896552,6825; 2167; 7616
8,178,2.101782973196363,apple airpods; airpods; apple; the apple; airpods please; the; my apple; issue; please; it,Billing inquiry,Software bug,Apple AirPods,0.2640449438202247,2.8059701492537314,1247; 148; 3796
9,159,1.8774353524619198,rog; asus rog; asus; the asus; rog please; the; my asus; issue; please; with,Cancellation request,Refund request,Asus ROG,0.22641509433962265,3.2452830188679247,420; 5593; 8209
10,159,1.8774353524619198,nikon; the nikon; nikon please; the; my nikon; issue; please; with; an; with the,Refund request,Battery life,Nikon D,0.27672955974842767,3.087719298245614,500; 7642; 499
11,176,2.078167434171685,autocad; autodesk; autodesk autocad; the autodesk; autocad please; the; my autodesk; issue; please; my,Product inquiry,Installation support,Autodesk AutoCAD,0.24431818181818182,3.1818181818181817,4967; 1054; 8057
12,80,0.9446215609871295,account; my; my account; password; access; account it; camera account; gopro; my gopro; it,Billing inquiry,Delivery problem,Canon DSLR Camera,0.2625,2.9310344827586206,1898; 7647; 341
13,213,2.5150549061282326,thermostat; nest thermostat; nest; the nest; thermostat please; the; my nest; to; issue; it,Product inquiry,Payment issue,Nest Thermostat,0.2300469483568075,3.0144927536231885,5418; 3044; 6231
14,135,1.5940488841657812,gopro action; action camera; camera; gopro; action; the gopro; camera please; the; my gopro; issue,Cancellation request,Battery life,GoPro Action Camera,0.22962962962962963,2.68,664; 469; 2970
15,168,1.983705278072972,gopro hero; hero; gopro; hero please; the gopro; the; my gopro; issue; please; with,Refund request,Refund request,GoPro Hero,0.24404761904761904,3.1132075471698113,1191; 3690; 815
16,210,2.479631597591215,google nest; nest; google; nest please; the google; the; my google; to; my; it,Billing inquiry,Delivery problem,Google Nest,0.2523809523809524,3.074626865671642,1679; 7492; 5487
17,218,2.574093753689928,amazon echo; echo; amazon; the amazon; echo please; the; my amazon; to; my; issue,Technical issue,Delivery problem,Amazon Echo,0.22935779816513763,3.084507042253521,7140; 5950; 5836
18,165,1.9482819695359546,oled; lg oled; lg; oled please; the lg; the; my lg; issue; please; with,Cancellation request,Display issue,LG OLED,0.24242424242424243,2.683333333333333,308; 962; 6561
19,452,5.337111819577282,data; deleted; the; lost; files; is there; to; to recover; them; recover the,Refund request,Battery life,Amazon Echo,0.23008849557522124,3.0851063829787235,7121; 7359; 2656
20,310,3.6604085488251266,account; my; my account; password; access; account it; the; how can; to; it,Product inquiry,Installation support,Microsoft Xbox Controller,0.20967741935483872,3.117021276595745,4696; 7431; 7053
21,153,1.8065887353878853,adobe photoshop; photoshop; adobe; the adobe; photoshop please; the; my adobe; issue; please; with,Billing inquiry,Product setup,Adobe Photoshop,0.24183006535947713,2.9310344827586206,1584; 3152; 3089
22,156,1.8420120439249024,smartwatch; fitbit versa; versa smartwatch; versa; fitbit; the fitbit; smartwatch please; the; my fitbit; issue,Refund request,Account access,Fitbit Versa Smartwatch,0.23076923076923078,2.58,5995; 1941; 1703
23,210,2.479631597591215,fitbit charge; charge; fitbit; the fitbit; charge please; the; my fitbit; to; it; my,Technical issue,Delivery problem,Fitbit Charge,0.22857142857142856,2.838709677419355,1036; 3263; 1689
24,133,1.5704333451411028,samsung soundbar; soundbar; samsung; soundbar please; the samsung; the; issue; please; my samsung; an,Technical issue,Delivery problem,Samsung Soundbar,0.22556390977443608,2.9318181818181817,6232; 2643; 6472
25,137,1.6176644231904593,thinkpad; lenovo thinkpad; lenovo; the lenovo; thinkpad please; the; my lenovo; please; issue; with,Technical issue,Refund request,Lenovo ThinkPad,0.24817518248175183,2.914285714285714,2805; 2783; 4397
26,152,1.7947809658755463,iphone; the iphone; iphone please; the; my iphone; please; issue; with; it; an,Cancellation request,Payment issue,iPhone,0.24342105263157895,3.1320754716981134,4711; 1682; 3598
27,152,1.7947809658755463,samsung galaxy; galaxy; samsung; galaxy please; the samsung; the; my samsung; issue; please; it,Billing inquiry,Network problem,Samsung Galaxy,0.23684210526315788,3.148936170212766,8085; 5565; 6009
28,163,1.9246664305112766,google pixel; pixel; google; pixel please; the google; the; my google; issue; please; with,Cancellation request,Account access,Google Pixel,0.26993865030674846,3.235294117647059,7589; 3399; 5225
